ciudad;depto;tamano;sector;seccion_sector;pa;numero_empleados;pb1;pb2;pb3;pb4;pb5;pb6;pb7;seleccion_por___contratados;pd1;pd2;p1;p1a;p2;p2a;p3;p3a;p4;p4a;p5;p5a;p6;p6a;p7;p7a;p8;p8a;p9;p9a;p10;p10a;p11;p11a;p12;p12a;p13;p13a;p14;p14a;p15;p15a;p16;p16a;p17;p17a;p18;p18a;p19;p19a;p20;p20a;p21a;p21b;p21c;p21d;p21e;factor
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;PRODUCCION DE HARINA;Entre 51 y 200 Empleados;2;;;;;;;Universitarios;2;1;4;3;4;3;3;4;3;3;3;2;4;3;3;2;4;2;4;3;3;3;3;2;4;3;3;4;3;3;4;3;3;3;3;2;4;4;3;4;4;3;5;3;1;2;4;7,61
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;J;DISTRIBUIDORA FARMACEUTICOS;Mas de 200 Empleados;4;;;;;;;Universitarios;50;10;4;4;3;3;4;4;3;3;3;3;4;3;4;4;3;3;3;3;4;4;4;4;4;4;3;3;4;4;3;3;4;4;4;4;3;3;4;4;4;4;4;5;3;1;2;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;CONSTRUCCION;Entre 11 y 50 Empleados;1;6;;;;;;Universitarios;3;2;2;2;3;3;3;3;1;1;3;3;3;3;4;2;4;4;4;4;4;4;4;4;4;2;4;3;4;3;4;2;3;3;4;3;4;4;3;3;3;3;2;1;4;5;3;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;I;TRANSPORTE URBANO;Mas de 200 Empleados;1;;;;;;;Tecnicos o Tecnologos;4;10;3;3;3;3;3;3;1;1;2;2;2;2;2;2;3;3;3;3;2;2;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;4;5;3;2;1;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;J;SERVICIOS DE SALUD;Mas de 200 Empleados;1;2;3;5;6;;;Tecnicos o Tecnologos;8;25;4;2;4;2;4;2;3;2;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;2;4;2;4;3;4;2;4;4;4;2;3;2;1;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;CONSTRUCICION OBRAS CIVILES;Entre 51 y 200 Empleados;6;;;;;;;Universitarios;10;7;4;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;4;4;3;3;4;4;2;2;1;1;3;2;5;1;2;4;3;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;K;CONTRUCCION;Mas de 200 Empleados;1;2;5;6;;;;Tecnicos o Tecnologos;4;5;4;3;4;3;4;3;3;3;4;4;4;4;4;4;4;3;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;3;4;3;4;3;4;4;1;2;5;4;3;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;CONSTRUCCION;Entre 51 y 200 Empleados;1;4;6;;;;;Universitarios;20;0;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;3;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;OBRAS INGENIERIA CIVIL;Mas de 200 Empleados;1;5;6;4;;;;Universitarios;10;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;2;4;3;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;L;SALUD;Mas de 200 Empleados;1;2;4;5;6;;;Universitarios;300;200;3;3;3;3;3;3;2;3;4;3;3;3;3;3;4;3;3;3;4;4;4;4;4;4;4;4;3;3;3;3;4;3;4;3;3;3;4;3;4;4;1;2;3;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;K;SERVICIOS HOTELEROS;Entre 51 y 200 Empleados;4;5;6;;;;;Universitarios;7;0;4;3;4;4;3;4;4;3;4;4;4;3;3;3;4;3;4;3;4;3;3;3;4;3;3;4;3;4;4;3;4;4;4;3;4;3;4;3;3;4;5;2;1;3;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;I;EXPLOTACION DE ARENA Y GRAVA;Entre 11 y 50 Empleados;2;5;6;;;;;Tecnicos o Tecnologos;0;3;4;4;3;3;4;4;1;1;3;4;3;3;4;4;4;3;3;4;4;4;4;3;2;4;3;3;4;4;4;3;4;3;4;4;4;4;4;4;4;4;3;2;1;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;K;SERVICIOS;Menos de 11 Empleados;5;6;;;;;;Universitarios;4;0;4;3;4;4;3;3;2;3;3;3;4;4;3;3;4;3;3;3;4;4;4;3;4;4;3;3;4;4;4;4;3;4;2;4;3;3;2;2;4;4;4;1;2;5;3;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;O;ACTIVIDADES RADIO Y TELEVISION;Entre 51 y 200 Empleados;1;5;6;7;;;;Universitarios;20;5;3;3;3;3;3;3;1;1;2;2;1;1;2;2;2;2;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;1;2;4;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;I;TELECOM;Entre 51 y 200 Empleados;2;6;3;;;;;Universitarios;5;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;1;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;I;SERVICIOS;Entre 51 y 200 Empleados;6;5;;;;;;Universitarios;1;0;4;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;4;4;4;4;3;3;4;4;4;3;3;2;1;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;I;SERVICIOS TELECOMINUCACIONES;Entre 11 y 50 Empleados;1;7;;;;;;Tecnicos o Tecnologos;0;3;3;3;3;3;2;2;1;1;2;2;1;1;3;3;3;3;2;2;3;3;2;2;3;3;2;2;3;3;2;2;3;3;3;3;2;2;3;3;2;2;3;2;1;4;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;I;COMUNICACIONES;Entre 11 y 50 Empleados;4;;;;;;;Tecnicos o Tecnologos;2;3;3;3;3;3;2;2;1;1;4;4;4;4;3;3;2;2;3;3;3;3;3;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;4;4;3;3;2;3;4;1;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;H;SERVICIO HOTELERO;Mas de 200 Empleados;1;2;3;4;5;6;;Tecnicos o Tecnologos;15;20;4;3;4;4;4;4;4;3;4;4;4;4;4;2;4;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;4;3;1;2;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;INGENIERIA CIVIL;Entre 11 y 50 Empleados;5;6;;;;;;Tecnicos o Tecnologos;5;7;3;4;4;4;4;4;2;2;2;2;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;1;2;4;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;I;TRANSFERENCIA ELECTRONICA DE D;Mas de 200 Empleados;1;2;4;5;6;;;Tecnicos o Tecnologos;40;50;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;3;4;3;4;3;4;1;3;2;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;CONSTRUCCION;Entre 51 y 200 Empleados;5;6;;;;;;Universitarios;10;6;3;3;4;3;4;3;4;3;4;4;3;3;3;3;4;4;4;3;4;4;4;4;3;3;3;3;4;4;4;4;3;3;3;3;3;3;4;4;3;3;3;2;4;5;1;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;O;COMERCIO EXTERIOR;Entre 11 y 50 Empleados;2;4;;;;;;Universitarios;1;0;3;2;4;3;4;4;4;4;4;4;3;3;4;3;4;4;4;3;4;4;4;3;4;4;4;3;3;3;3;3;4;3;3;3;3;3;4;4;4;3;3;1;2;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;CONSTRUCCION OBRAS CIVILES;Entre 51 y 200 Empleados;6;5;7;;;;;Tecnicos o Tecnologos;10;15;4;4;4;4;4;4;2;2;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;1;3;4;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;CONSTRUCCION DE EDIFICACIONES PARA USO RESIDENCIAL;Entre 11 y 50 Empleados;1;;;;;;;Tecnicos o Tecnologos;15;16;3;3;4;4;4;4;1;1;4;4;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;1;2;3;4;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;I;TRANSPORTE MARITIMO;Mas de 200 Empleados;1;2;4;5;6;;;Tecnicos o Tecnologos;1;4;3;3;3;3;4;3;4;2;4;2;3;2;4;3;4;4;4;4;4;4;4;3;4;3;4;3;4;2;4;2;4;2;4;3;4;2;4;3;4;2;3;2;1;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;SERVICOS RELACIONADOS CON TELE;Entre 51 y 200 Empleados;4;2;;;;;;Tecnicos o Tecnologos;10;20;4;3;4;3;4;3;4;2;4;3;4;3;3;3;4;3;4;3;4;4;4;3;4;3;3;3;3;3;4;3;3;3;4;3;4;3;4;3;4;3;2;3;4;5;1;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;K;CONSULTORIA;Entre 11 y 50 Empleados;6;;;;;;;Tecnicos o Tecnologos;4;8;4;4;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;1;2;4;3;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;J;FINANCIACION DE POLIZAS;Entre 11 y 50 Empleados;2;;;;;;;Universitarios;2;0;3;3;4;3;4;3;1;1;3;3;1;1;3;3;3;3;3;3;4;4;4;4;3;3;3;3;3;3;2;2;3;3;3;3;3;3;4;4;3;3;4;3;2;1;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;K;SERVICIOS PUBLICITARIOS;Mas de 200 Empleados;4;7;;;;;;Universitarios;2;0;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;1;2;3;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;F;SERVICIOS;Entre 51 y 200 Empleados;1;4;2;6;5;;;Universitarios;10;5;4;3;4;3;4;3;2;2;4;3;4;3;4;4;3;3;3;3;4;4;4;2;4;3;4;3;4;3;3;3;3;3;4;4;3;3;4;4;4;4;1;3;2;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;J;FABRICANTES DE CERRADURAS;Mas de 200 Empleados;1;6;;;;;;Tecnicos o Tecnologos;2;4;3;3;3;3;3;3;1;1;2;2;2;2;2;2;3;3;2;2;3;3;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2;3;3;2;2;4;3;2;1;5;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;N;SERVICIOS DE SALUD;Mas de 200 Empleados;4;5;6;;;;;Tecnicos o Tecnologos;80;120;4;3;4;4;4;4;2;3;4;3;3;3;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;3;4;4;4;3;3;3;4;4;4;4;1;3;2;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;J;FINANCIERO;Mas de 200 Empleados;1;5;6;;;;;Tecnicos o Tecnologos;10;20;3;3;3;3;3;3;4;3;3;3;4;4;3;3;4;3;3;3;4;4;4;4;4;4;4;4;3;3;3;3;3;3;4;4;2;2;3;3;3;3;3;1;2;5;4;12,68
BOGOTA;CUNDINAMARCA;GRANDE;SERVICIOS;K;PUBLICIDAD Y MERCADEO;Entre 51 y 200 Empleados;7;6;1;;;;;Universitarios;5;1;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;5;3;2;1;12,68
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;EXPORTACION DE CARBON;Entre 51 y 200 Empleados;7;;;;;;;Universitarios;3;0;3;3;3;3;3;3;2;2;4;4;3;3;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;5;4;3;1;2;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 11 y 50 Empleados;6;7;;;;;;Tecnicos o Tecnologos;2;10;4;4;4;3;4;4;1;1;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;3;3;3;4;4;4;3;1;3;4;5;2;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;DISTRIBUCION Y VENTA DE PRODUC;Mas de 200 Empleados;6;5;;;;;;Tecnicos o Tecnologos;5;30;4;2;4;2;4;3;4;1;4;3;4;2;4;3;4;3;4;2;4;3;4;2;4;3;4;3;4;3;4;3;4;2;4;3;4;3;4;2;4;2;3;4;2;1;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;INTERMEDIACION;Entre 11 y 50 Empleados;1;2;3;;;;;Universitarios;6;0;2;3;3;4;4;4;4;4;4;3;2;2;2;2;3;4;1;2;4;4;1;3;3;3;2;4;2;2;1;2;1;3;3;1;2;1;1;3;3;3;4;3;5;1;2;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 11 y 50 Empleados;5;6;2;;;;;Universitarios;18;10;3;3;4;3;3;3;1;1;3;3;3;3;4;3;4;3;3;3;4;4;3;3;4;3;3;3;4;4;4;4;4;3;4;4;3;3;4;4;4;3;4;1;2;3;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;INDUSTRIA Y COMERCIO;Entre 51 y 200 Empleados;6;;;;;;;Universitarios;10;0;3;3;3;3;3;3;2;2;3;3;3;3;4;4;3;3;4;4;4;4;3;3;2;2;3;3;3;3;3;3;3;3;2;2;4;4;4;4;3;3;3;2;4;1;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;A;COMERCIO;Entre 11 y 50 Empleados;6;;;;;;;Tecnicos o Tecnologos;4;5;3;3;4;2;4;2;4;2;4;4;4;2;3;2;4;3;4;2;4;2;4;2;4;3;4;3;4;2;4;4;3;3;4;3;3;3;4;2;4;2;3;2;4;5;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIALIZACION;Entre 11 y 50 Empleados;1;2;3;4;5;6;;Universitarios;5;2;3;3;4;4;4;4;2;2;3;3;3;3;4;4;4;4;3;3;4;4;4;4;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;3;3;4;1;5;3;2;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIALIZADORA DE MATERIALES;Entre 11 y 50 Empleados;5;;;;;;;Universitarios;1;0;3;4;4;4;4;4;1;1;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;4;4;4;4;4;4;3;3;3;3;3;2;4;5;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 11 y 50 Empleados;4;2;;;;;;Tecnicos o Tecnologos;1;2;4;3;3;3;4;2;2;2;4;3;4;3;4;2;3;3;4;3;2;3;3;2;4;3;3;3;3;2;3;3;3;2;3;3;3;2;2;2;4;3;2;3;4;1;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 51 y 200 Empleados;2;5;;;;;;Tecnicos o Tecnologos;0;1;4;3;4;4;4;4;1;2;3;3;4;3;4;4;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;3;1;2;3;4;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;MAQUINARIA PARA CONFECCION;Entre 11 y 50 Empleados;3;4;5;6;;;;Tecnicos o Tecnologos;4;5;4;3;4;4;3;2;3;2;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;3;4;3;4;4;4;4;5;3;1;2;4;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;PRODUCTOS DE ASEO PARA HOGAR;Entre 51 y 200 Empleados;1;5;6;;;;;Universitarios;30;20;4;4;4;4;4;4;2;2;4;4;3;3;4;4;4;4;3;3;4;4;4;4;4;4;2;2;3;3;4;4;3;3;4;4;3;3;4;4;3;3;3;1;2;5;4;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;IMPORTACION Y VENTA DE REP AUT;Entre 51 y 200 Empleados;6;;;;;;;Tecnicos o Tecnologos;0;4;3;3;3;3;3;3;2;2;3;2;3;2;3;3;3;2;3;3;3;3;3;3;3;2;4;3;3;3;2;2;4;3;3;3;3;3;3;3;2;2;3;5;2;4;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;VENTA DE MEDICAMENTOS;Entre 11 y 50 Empleados;4;2;;;;;;Tecnicos o Tecnologos;8;10;4;4;3;3;3;3;3;3;4;4;4;3;3;3;4;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;4;3;4;4;3;3;4;4;3;3;3;1;2;5;4;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 11 y 50 Empleados;4;;;;;;;Tecnicos o Tecnologos;4;5;4;3;3;3;4;4;4;3;4;3;1;1;3;3;1;1;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;2;2;4;4;3;3;1;2;3;4;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 11 y 50 Empleados;6;;;;;;;Universitarios;6;3;3;3;4;4;3;3;1;1;4;3;4;3;4;3;4;1;4;4;4;4;4;3;4;2;4;3;3;3;3;4;3;3;4;4;2;2;4;4;3;3;2;4;5;3;1;9,00
SOPO;CUNDINAMARCA;MEDIANA;COMERCIO;A;AGRICOLA;Mas de 200 Empleados;1;6;;;;;;Universitarios;7;5;4;3;3;3;4;4;3;2;4;3;3;3;3;3;4;4;4;4;4;3;4;4;3;3;4;3;4;4;3;3;3;3;3;3;3;3;3;3;4;3;5;2;4;3;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIALIZACION;Entre 51 y 200 Empleados;1;;;;;;;Tecnicos o Tecnologos;3;5;3;3;3;3;3;3;1;1;3;3;1;1;3;3;3;3;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;3;2;5;4;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;DISTRIBUIDOR DE MATERIALES;Entre 11 y 50 Empleados;7;;;;;;;Universitarios;7;0;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;2;4;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;PRODUCCION PIELES EXOTICAS;Entre 51 y 200 Empleados;6;7;;;;;;Universitarios;1;0;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;3;3;4;4;3;3;1;3;2;4;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;DISTRIBUIDORES;Entre 51 y 200 Empleados;4;6;;;;;;Universitarios;2;0;3;4;3;4;3;3;2;2;4;4;2;1;4;4;4;4;4;3;4;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;4;3;4;3;2;3;4;5;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;IMPORTACION Y DISTRIBUCION DE;Entre 11 y 50 Empleados;1;2;3;4;5;6;7;Tecnicos o Tecnologos;8;10;3;3;2;3;4;3;4;4;4;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;4;4;4;3;3;1;5;3;2;4;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;IMPORTADORES DE MAQUINARIA;Menos de 11 Empleados;7;;;;;;;Tecnicos o Tecnologos;1;2;3;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;3;3;3;1;1;3;3;4;2;3;5;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO AL POR MAYOR MENOR;Entre 11 y 50 Empleados;1;5;6;;;;;Tecnicos o Tecnologos;5;7;4;3;4;3;3;2;3;2;4;3;4;3;4;2;4;3;4;3;4;2;4;3;4;3;4;3;4;3;4;3;4;2;4;2;4;3;4;3;4;2;3;1;2;5;4;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;APOYO A LA ADMINISTRACION DE;Menos de 11 Empleados;1;;;;;;;Universitarios;6;0;4;4;3;4;2;4;4;3;4;4;4;4;3;4;4;4;2;3;4;4;3;3;4;4;4;4;4;4;2;2;4;4;4;4;4;4;4;4;4;4;1;2;3;5;4;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 11 y 50 Empleados;4;1;7;;;;;Universitarios;2;0;2;2;3;3;4;4;1;1;3;3;3;3;3;3;4;4;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;4;4;3;3;3;3;3;3;2;3;4;5;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;DISTRIBUCION PAPEL, TINTA PEGA;Entre 11 y 50 Empleados;4;5;6;7;;;;Tecnicos o Tecnologos;0;1;3;3;2;2;2;2;1;1;3;3;1;1;3;3;3;3;2;2;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;2;2;2;2;3;3;1;2;3;5;4;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;VENTA DE MAQUINARIA;Entre 11 y 50 Empleados;1;2;;;;;;Tecnicos o Tecnologos;1;7;3;3;4;4;4;4;3;3;4;4;4;4;4;3;4;3;4;3;4;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;4;2;4;3;1;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIALIZA PRENDAS DE VESTIR;Entre 51 y 200 Empleados;4;5;6;;;;;Tecnicos o Tecnologos;5;8;4;3;4;2;4;2;3;2;4;3;4;3;3;3;4;2;4;3;4;3;4;3;2;2;2;2;3;2;3;2;3;2;4;3;4;2;3;3;3;3;4;2;5;3;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 51 y 200 Empleados;1;2;4;5;6;;;Tecnicos o Tecnologos;3;5;4;4;4;3;3;3;1;1;3;3;1;1;4;2;4;4;4;4;4;4;4;2;3;2;3;2;3;2;3;2;3;2;3;2;3;3;3;3;3;3;1;2;4;3;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;DISTRIBUCION Y COMERCIALIZACIO;Entre 11 y 50 Empleados;1;5;7;;;;;Tecnicos o Tecnologos;2;3;3;3;3;3;4;4;1;1;2;2;2;2;2;2;4;4;3;3;2;3;3;3;3;3;3;3;4;4;3;3;3;3;2;2;2;2;3;3;3;3;4;3;2;1;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;IMPORTADORA DE MONTA CARGA;Entre 11 y 50 Empleados;1;2;3;4;5;6;;Tecnicos o Tecnologos;15;20;4;3;4;3;4;3;4;3;4;4;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;3;4;3;4;3;4;3;4;3;4;4;4;4;4;3;3;1;4;5;2;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;INDUSTRIA;Entre 11 y 50 Empleados;6;;;;;;;Universitarios;15;0;4;3;4;4;4;4;4;2;4;3;2;2;4;3;4;4;4;4;4;4;4;3;3;3;3;3;4;3;4;2;4;2;4;3;4;3;4;3;4;2;3;4;5;2;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;VENTA Y DISTRIBUCION DE MATERI;Entre 11 y 50 Empleados;1;;;;;;;Universitarios;2;0;2;2;2;2;2;2;1;1;3;3;3;3;2;2;2;2;3;3;2;2;2;2;4;2;3;3;3;3;3;3;2;2;3;3;3;3;4;4;3;3;3;5;4;2;1;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIALIZACION DE BOVINOS;Entre 11 y 50 Empleados;6;;;;;;;Universitarios;12;10;4;4;4;3;3;3;4;2;4;4;4;4;3;3;4;4;4;4;4;4;3;3;3;3;4;3;3;3;4;4;3;3;4;4;4;4;3;3;4;4;2;3;4;1;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;IMPORTADORA DE PRODUCTOS;Menos de 11 Empleados;5;;;;;;;Universitarios;2;0;3;3;4;2;4;3;3;3;4;4;4;4;2;2;4;4;2;2;4;4;2;2;3;3;3;3;3;3;2;2;3;3;4;4;3;3;2;2;3;3;4;3;2;1;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 11 y 50 Empleados;7;;;;;;;Universitarios;7;2;4;4;2;1;4;4;1;1;4;3;2;2;4;3;4;3;4;4;4;4;4;4;2;2;1;1;4;2;4;4;4;2;4;3;4;4;4;4;4;2;1;2;3;4;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;COMERCIO;Entre 11 y 50 Empleados;5;6;;;;;;Tecnicos o Tecnologos;0;1;3;3;4;2;4;3;4;1;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;3;5;4;2;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;G;VENTA DE VEHICULOS;Entre 11 y 50 Empleados;7;6;5;2;;;;Universitarios;2;0;2;2;3;3;3;3;1;1;3;3;2;2;2;2;4;4;4;4;4;4;3;3;4;4;3;3;3;3;3;3;2;2;3;3;3;3;3;3;2;2;3;2;1;4;5;9,00
BOGOTA;CUNDINAMARCA;MEDIANA;COMERCIO;A;DISTRIBUCION DE PRODUCTOS A;Menos de 11 Empleados;6;5;;;;;;Universitarios;6;1;4;3;3;4;3;4;4;3;4;4;4;3;4;3;4;4;4;4;4;4;4;3;4;3;4;4;4;3;3;3;3;3;3;4;4;3;4;3;3;3;2;1;3;4;5;9,00
